Item Type,Product ID,Product Name,Product Type,Product Code/SKU,Bin Picking Number,Brand Name,Option Set,Option Set Align,Product Description,Price,Cost Price,Retail Price,Sale Price,Fixed Shipping Cost,Free Shipping,Product Warranty,Product Weight,Product Width,Product Height,Product Depth,Allow Purchases?,Product Visible?,Product Availability,Track Inventory,Current Stock Level,Low Stock Level,Category,Product Image ID - 1,Product Image File - 1,Product Image Description - 1,Product Image Is Thumbnail - 1,Product Image Sort - 1,Product Image ID - 2,Product Image File - 2,Product Image Description - 2,Product Image Is Thumbnail - 2,Product Image Sort - 2,Product Image ID - 3,Product Image File - 3,Product Image Description - 3,Product Image Is Thumbnail - 3,Product Image Sort - 3,Product Image ID - 4,Product Image File - 4,Product Image Description - 4,Product Image Is Thumbnail - 4,Product Image Sort - 4,Product Image ID - 5,Product Image File - 5,Product Image Description - 5,Product Image Is Thumbnail - 5,Product Image Sort - 5,Search Keywords,Page Title,Meta Keywords,Meta Description,Product Condition,Show Product Condition?,Sort Order,Product Tax Class,Product UPC/EAN,Stop Processing Rules,Product URL,Redirect Old URL?,GPS Global Trade Item Number,GPS Manufacturer Part Number,GPS Gender,GPS Age Group,GPS Color,GPS Size,GPS Material,GPS Pattern,GPS Item Group ID,GPS Category,GPS Enabled,Tax Provider Tax Code,Product Custom Fields
Product,,Freshwater Pearl Disc Beaded Anklet,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 479682 Color : Neutral Theme : Pearl  Size : 0.25""H, 9"" + 3"" L  One Side Only Lead and Nickel Compliant Freshwater Pearl Disc Beaded Anklet",$3.75 / pc,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20200312/AK0001-@GD-NMLT1@025H-9_3L@479682@375@01.jpg,,Y,0,,,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,Bead Link Layered Anklet ,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 473115 Color : Gold, Hematite  Size : 0.1"" H, 8.25"" H, 2.5"" L  One Side Only Lead and Nickel Compliant Bead Link Layered Anklet ",$3.75 / pc$40.50 / dz,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20200123/AK0002-@GD-HEM@01H-825_25L@473115@375@01.jpg,,Y,0,,,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,4pcs - Sexy Rhinestone Pave Chain Layered Anklets,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 479525 Color : Gold Theme : Message  Size : 0.3""H, 7"" + 3"" L, 0.1""H, 7.5"" + 3"" L  One Side Only Lead and Nickel Compliant 4PCS - Sexy Rhinestone Pave Chain Layered Anklets",$4.50 / pc$48.60 / dz,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20200311/AK0048-@GD-CR@4P-03H-7_3L-01H-75_3L@479525@450@015.jpg,,Y,0,,images/20200311/des_img/AK0048-@GD-CR@4P-03H-7_3L-01H-75_3L@479525@450@015@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,4pcs - Sexy Rhinestone Pave Chain Layered Anklets,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 479526 Color : Rhodium Theme : Message  Size : 0.3""H, 7"" + 3"" L, 0.1""H, 7.5"" + 3"" L  One Side Only Lead and Nickel Compliant 4PCS - Sexy Rhinestone Pave Chain Layered Anklets",$4.50 / pc$48.60 / dz,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20200311/AK0048-@RH-CR@4P-03H-7_3L-01H-75_3L@479526@450@015.jpg,,Y,0,,images/20200311/des_img/AK0048-@RH-CR@4P-03H-7_3L-01H-75_3L@479526@450@015@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,4pcs - Baby Rhinestone Pave Chain Layered Anklets,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 479523 Color : Gold Theme : Message  Size : 0.3""H, 7"" + 3"" L, 0.1""H, 7.5"" + 3"" L  One Side Only Lead and Nickel Compliant 4PCS - Baby Rhinestone Pave Chain Layered Anklets",$4.50 / pc$48.60 / dz,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20200311/AK0038-@GD-CR@4P-03H-7_3L-01H-75_3L@479523@450@015.jpg,,Y,0,,images/20200311/des_img/AK0038-@GD-CR@4P-03H-7_3L-01H-75_3L@479523@450@015@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,4pcs - Baby Rhinestone Pave Chain Layered Anklets,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 479524 Color : Rhodium Theme : Message  Size : 0.3""H, 7"" + 3"" L, 0.1""H, 7.5"" + 3"" L  One Side Only Lead and Nickel Compliant 4PCS - Baby Rhinestone Pave Chain Layered Anklets",$4.50 / pc$48.60 / dz,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20200311/AK0038-@RH-CR@4P-03H-7_3L-01H-75_3L@479524@450@015.jpg,,Y,0,,images/20200311/des_img/AK0038-@RH-CR@4P-03H-7_3L-01H-75_3L@479524@450@015@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,Rhinestone Pave Sexy Anklet,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 467405 Color : Gold Theme : Message  Size : 2.25"" X 0.6"", 8.25"" + 3"" L  One Side Only Lead and Nickel Compliant Rhinestone Pave Sexy Anklet",$2.00 / pc$21.60 / dz,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20191206/AK1504-@GD-CRY-SEXY@22X06-825_3L@467405@200@01.jpg,,Y,0,,images/20191206/des_img/AK1504-@GD-CRY-SEXY@22X06-825_3L@467405@200@01@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,Rhinestone Pave Sexy Anklet,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 467406 Color : Rhodium Theme : Message  Size : 2.25"" X 0.6"", 8.25"" + 3"" L  One Side Only Lead and Nickel Compliant Rhinestone Pave Sexy Anklet",$2.00 / pc,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20191206/AK1504-@RH-CRY-SEXY@22X06-825_3L@467406@200@01.jpg,,Y,0,,images/20191206/des_img/AK1504-@RH-CRY-SEXY@22X06-825_3L@467406@200@01@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,Rhinestone Pave Boss Anklet,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 467403 Color : Clear, Gold Theme : Message  Size : 2.25"" X 0.7"", 8.25"" + 3"" L  One Side Only Lead and Nickel Compliant Rhinestone Pave Boss Anklet",$2.00 / pc,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20191206/AK1503-@GD-CRY-BOSS@225X07-825_3L@467403@200@01.jpg,,Y,0,,images/20191206/des_img/AK1503-@GD-CRY-BOSS@225X07-825_3L@467403@200@01@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
Product,,Rhinestone Pave Glam Anklet,P,479533,,BIJOUX PIECES,2PCS - HEART CHARM METAL LINK LAYERED ANKLETS,Right," Style No : 467401 Color : Clear, Gold Theme : Message  Size : 2.2"" X 0.6"", 8.25"" + 3"" L  One Side Only Lead and Nickel Compliant Rhinestone Pave Glam Anklet",$2.00 / pc$21.60 / dz,3,0,0,0,N,,0,0,0,0,Y,Y,Y,by product,50,10,JEWELRY;ANKLET/FASHION,,images/20191206/AK1502-@GD-CRY-GLAM@22X06-825_3L@467401@200@01.jpg,,Y,0,,images/20191206/des_img/AK1502-@GD-CRY-GLAM@22X06-825_3L@467401@200@01@1.jpg,,N,1,,,,,,,,,,,,,,,,,,,,New,N,0,N,,N,,,,,,,,,,,,,N,,Color=Gold
